# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
A00|Amar|Paris Gambit|Nh3 d5 g3 e5 f4
A00|Amar/Paris Opening|Ana Hat|Nh3
A00|Anderssen Opening|Ana Hat|a3
A00|Barnes Opening|Ana Hat|f3
A00|Benkö Açılışı|Ana Hat|g3
A00|Benkö Açılışı|Ana Hat|g3 Nf6
A00|Benkö Açılışı|Ana Hat|g3 e5
A00|Benkö Açılışı|Ana Hat|g3 d5
A00|Benkö Açılışı|Ana Hat|g3 d5 Bg2
A00|Benkö Açılışı|Ana Hat|g3 d5 Bg2 c6
A00|Benkö Açılışı|Ana Hat|g3 d5 Bg2 e5
A00|Benkö Açılışı|Ana Hat|g3 d5 Bg2 Nf6
A00|Benkö Açılışı|Symmetrical|g3 g6
A00|Clemenz Opening|Ana Hat|h3
A00|Creepy Crawly Opening (Basman)|Ana Hat|a3 e5 h3 d5
A00|Durkin|Ana Hat|Na3
A00|Fried fox|Ana Hat|f3 e5 Kf2
A00|Grob Açılışı|1...d5|g4 d5
A00|Grob Açılışı|1...e5|g4 e5
A00|Grob Açılışı|Alessi Gambit|g4 f5
A00|Grob Açılışı|Ana Hat|g4
A00|Grob Açılışı|Double Grob|g4 g5
A00|Grob Gambit Accepted|Ana Hat|g4 d5 Bg2 Bxg4
A00|Grob Gambit Accepted|Fritz Gambit|g4 d5 Bg2 Bxg4 c4
A00|Grob Gambiti|2...c6|g4 d5 Bg2 c6
A00|Grob Gambiti|Ana Hat|g4 d5 Bg2
A00|Grob Gambiti|Hurst Attack|g4 d5 Bg2 e5 c4
A00|Grob Gambiti|Spike Attack|g4 d5 Bg2 c6 g5
A00|Grob Gambiti|e5|g4 d5 Bg2 e5
A00|Kadas Opening|Ana Hat|h4
A00|Mieses|1...d5|d3 d5
A00|Mieses|1...e5|d3 e5
A00|Mieses|Ana Hat|d3
A00|Polish (Sokolsky; Orang-Utan)|Ana Hat|b4
A00|Polonya Açılışı|1...Nf6|b4 Nf6
A00|Polonya Açılışı|1...Nf6 2.Bb2|b4 Nf6 Bb2
A00|Polonya Açılışı|1...Nf6 2.Bb2 e6|b4 Nf6 Bb2 e6
A00|Polonya Açılışı|1...c6|b4 c6
A00|Polonya Açılışı|1...d5|b4 d5
A00|Polonya Açılışı|1...d5 2.Bb2|b4 d5 Bb2
A00|Polonya Açılışı|1...d5 2.Bb2 Bf5|b4 d5 Bb2 Bf5
A00|Polonya Açılışı|1...d5 2.Bb2 Nf6|b4 d5 Bb2 Nf6
A00|Polonya Açılışı|1...d5 2.Bb2 Nf6 3.e3|b4 d5 Bb2 Nf6 e3
A00|Polonya Açılışı|1...e5|b4 e5
A00|Polonya Açılışı|1...e5 2.Bb2|b4 e5 Bb2
A00|Polonya Açılışı|1...e5 2.Bb2 d6|b4 e5 Bb2 d6
A00|Polonya Açılışı|1...e5 2.Bb2 f6|b4 e5 Bb2 f6
A00|Polonya Açılışı|2...Bxb4|b4 e5 Bb2 Bxb4
A00|Polonya Açılışı|2...Bxb4 3.Bxe5|b4 e5 Bb2 Bxb4 Bxe5
A00|Polonya Açılışı|2...Bxb4 3.Bxe5 Nf6|b4 e5 Bb2 Bxb4 Bxe5 Nf6
A00|Polonya Açılışı|2...Bxb4 3.Bxe5 Nf6 4.Nf3|b4 e5 Bb2 Bxb4 Bxe5 Nf6 Nf3
A00|Polonya Açılışı|2...Bxb4 3.Bxe5 Nf6 4.c4|b4 e5 Bb2 Bxb4 Bxe5 Nf6 c4
A00|Polonya Açılışı|Birmingham Gambit|b4 c5
A00|Polonya Açılışı|Bugayev Attack|b4 e5 a3
A00|Polonya Açılışı|Schühler Gambit|b4 c6 Bb2 a5 b5
A00|Polonya Açılışı|Tartakower Gambit|b4 e5 Bb2 f6 e4 Bxb4
A00|Polonya Açılışı|Wolfertz Gambit|b4 e5 Bb2 c5
A00|Saragossa|Ana Hat|c3
A00|Spike Deferred|Ana Hat|d3 g6 g4
A00|Van Geet (Dunst) Opening|Ana Hat|Nc3
A00|Van Geet Açılışı|1...Nf6|Nc3 Nf6
A00|Van Geet Açılışı|1...Nf6 2.Nf3|Nc3 Nf6 Nf3
A00|Van Geet Açılışı|1...d5|Nc3 d5
A00|Van Geet Açılışı|1...d5 2.Nf3|Nc3 d5 Nf3
A00|Van Geet Açılışı|1...d5 2.Nf3 Nf6|Nc3 d5 Nf3 Nf6
A00|Van Geet Açılışı|1...d5 2.e4|Nc3 d5 e4
A00|Van Geet Açılışı|1...d5 2.e4 d4|Nc3 d5 e4 d4
A00|Van Geet Açılışı|1...d5 2.e4 dxe4|Nc3 d5 e4 dxe4
A00|Van Geet Açılışı|1...e5|Nc3 e5
A00|Van Geet Açılışı|1...e5 2.Nf3|Nc3 e5 Nf3
A00|Van Geet Açılışı|Hector Gambit|Nc3 d5 e4 dxe4 Bc4
A00|Van Geet Açılışı|Sicilian Variation|Nc3 c5
A00|Van Geet Açılışı|Sicilian Variation, 2.Nf3|Nc3 c5 Nf3
A00|Van Geet Açılışı|Sicilian Variation, 2.Nf3 Nc6|Nc3 c5 Nf3 Nc6
A00|Van Geet Açılışı|Tübingen Gambit|Nc3 Nf6 g4
A00|Van Kruijs|Ana Hat|e3
A00|Ware Opening|Ana Hat|a4
A01|Nimzowitsch-Larsen Atağı|1...d5|b3 d5
A01|Nimzowitsch-Larsen Atağı|1...d5 2.Bb2|b3 d5 Bb2
A01|Nimzowitsch-Larsen Atağı|1...e5|b3 e5
A01|Nimzowitsch-Larsen Atağı|1...e5 2.Bb2|b3 e5 Bb2
A01|Nimzowitsch-Larsen Atağı|1...e5 2.Bb2 Nc6|b3 e5 Bb2 Nc6
A01|Nimzowitsch-Larsen Atağı|1...e5 2.Bb2 Nc6 3.e3|b3 e5 Bb2 Nc6 e3
A01|Nimzowitsch-Larsen Atağı|1...e5 2.Bb2 d6|b3 e5 Bb2 d6
A01|Nimzowitsch-Larsen Atağı|Dutch Variation|b3 f5
A01|Nimzowitsch-Larsen Atağı|English Variation|b3 c5
A01|Nimzowitsch-Larsen Atağı|Indian Variation|b3 Nf6
A01|Nimzowitsch-Larsen Atağı|Indian Variation|b3 Nf6 Bb2 g6
A01|Nimzowitsch-Larsen Atağı|Paschmann Gambit|b3 e5 Bb2 Nc6 f4
A01|Nimzowitsch-Larsen Atağı|Polish Variation|b3 b5
A01|Nimzowitsch-Larsen Atağı|Ringelbach Gambit|b3 f5 Bb2 e6 e4
A01|Nimzowitsch-Larsen Atağı|Spike Variation|b3 Nf6 Bb2 g6 g4
A01|Nimzowitsch-Larsen Atağı|Symmetrical|b3 b6
A01|Nimzowitsch-Larsen Attack|Ana Hat|b3
A02|Bird Açılışı|1..Nf6|f4 Nf6
A02|Bird Açılışı|1..Nf6 2.Nf3|f4 Nf6 Nf3
A02|Bird Açılışı|1..Nf6 2.Nf3 c5|f4 Nf6 Nf3 c5
A02|Bird Açılışı|1..Nf6 2.Nf3 d6|f4 Nf6 Nf3 d6
A02|Bird Açılışı|1..Nf6 2.Nf3 g6|f4 Nf6 Nf3 g6
A02|Bird Açılışı|1..Nf6 2.Nf3 g6 3.g3|f4 Nf6 Nf3 g6 g3
A02|Bird Açılışı|1..Nf6 2.Nf3 g6 3.g3|f4 Nf6 Nf3 g6 g3 Bg7 Bg2
A02|Bird Açılışı|1..Nf6 2.Nf3 g6 3.g3|f4 Nf6 Nf3 g6 g3 Bg7 Bg2 d6
A02|Bird Açılışı|1..Nf6 2.b3|f4 Nf6 b3
A02|Bird Açılışı|1..Nf6 2.e3|f4 Nf6 e3
A02|Bird Açılışı|1..Nf6 2.g3|f4 Nf6 g3
A02|Bird Açılışı|1..c5|f4 c5
A02|Bird Açılışı|1..c5 2.Nf3 Nc6|f4 c5 Nf3 Nc6
A02|Bird Açılışı|1..d6|f4 d6
A02|Bird Açılışı|1..g6|f4 g6
A02|Bird Açılışı|1..g6|f4 g6 Nf3 Bg7 e3
A02|Bird Açılışı|1..g6|f4 g6 Nf3 Bg7 g3
A02|Bird Açılışı|Ana Hat|f4
A02|Bird Açılışı|Batavo Polish Attack|f4 Nf6 Nf3 g6 b4
A02|Bird Açılışı|From Gambit|f4 e5
A02|Bird Açılışı|From Gambit Accepted|f4 e5 fxe5
A02|Bird Açılışı|From Gambit, 2...d6|f4 e5 fxe5 d6
A02|Bird Açılışı|From Gambit, 3...Bxd6|f4 e5 fxe5 d6 exd6 Bxd6
A02|Bird Açılışı|From Gambit, 3.exd6|f4 e5 fxe5 d6 exd6
A02|Bird Açılışı|From Gambit, Langheld Gambit|f4 e5 fxe5 d6 exd6 Nf6
A02|Bird Açılışı|From Gambit, Lasker Variation|f4 e5 fxe5 d6 exd6 Bxd6 Nf3 g5
A02|Bird Açılışı|From Gambit, Lasker, 5.d4|f4 e5 fxe5 d6 exd6 Bxd6 Nf3 g5 d4
A02|Bird Açılışı|From Gambit, Lasker, 5.g3|f4 e5 fxe5 d6 exd6 Bxd6 Nf3 g5 g3
A02|Bird Açılışı|From Gambit, Lasker, Queenswap Line|f4 e5 fxe5 d6 exd6 Bxd6 Nf3 g5 d4 g4 Ne5 Bxe5 dxe5 Qxd1+
A02|Bird Açılışı|From Gambit, Lipke|f4 e5 fxe5 d6 exd6 Bxd6 Nf3 Nh6 d4
A02|Bird Açılışı|From Gambit, Schlecter|f4 e5 fxe5 Nc6
A02|Bird Açılışı|Hobbs Gambit|f4 g5
A02|Bird Açılışı|Swiss Gambit|f4 f5 e4
A02|Bird Açılışı|Swiss Gambit|f4 f5 e4 fxe4 Nc3 Nf6 g4
A02|Bird Açılışı|Symmetrical|f4 f5
A03|Bird Açılışı|1...d5|f4 d5
A03|Bird Açılışı|1...d5 2.Nf3|f4 d5 Nf3
A03|Bird Açılışı|1...d5 2.Nf3 Nf6|f4 d5 Nf3 Nf6
A03|Bird Açılışı|1...d5 2.Nf3 Nf6 3.b3|f4 d5 Nf3 Nf6 b3
A03|Bird Açılışı|1...d5 2.Nf3 Nf6 3.g3|f4 d5 Nf3 Nf6 g3
A03|Bird Açılışı|1...d5 2.Nf3 Nf6 3.g3 g6|f4 d5 Nf3 Nf6 g3 g6
A03|Bird Açılışı|1...d5 2.Nf3 Nf6 3.g3 g6|f4 d5 Nf3 Nf6 g3 g6 Bg2 Bg7
A03|Bird Açılışı|1...d5 2.Nf3 Nf6 3.g3 g6: 5.O-O|f4 d5 Nf3 Nf6 g3 g6 Bg2 Bg7 O-O
A03|Bird Açılışı|1...d5 2.Nf3 Nf6 3.g3 g6: 5.O-O O-O|f4 d5 Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O
A03|Bird Açılışı|1...d5 2.Nf3 Nf6 3.g3 g6: 5.O-O O-O 6.d3|f4 d5 Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3
A03|Bird Açılışı|1...d5 2.Nf3 Nf6 3.g3 g6: 5.d3|f4 d5 Nf3 Nf6 g3 g6 Bg2 Bg7 d3
A03|Bird Açılışı|1...d5 2.Nf3 Nf6 3.g3 g6: 6.d3 c5|f4 d5 Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 c5
A03|Bird Açılışı|1...d5 2.Nf3 Nf6 3.g3 g6: 6.d3 c6|f4 d5 Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 c6
A03|Bird Açılışı|1...d5 2.Nf3 c5|f4 d5 Nf3 c5
A03|Bird Açılışı|1...d5 2.Nf3 c5 3.e3|f4 d5 Nf3 c5 e3
A03|Bird Açılışı|1...d5 2.Nf3 g6|f4 d5 Nf3 g6
A03|Bird Açılışı|1...d5 2.Nf3 g6 3.e3|f4 d5 Nf3 g6 e3
A03|Bird Açılışı|1...d5 2.Nf3 g6 3.g3|f4 d5 Nf3 g6 g3
A03|Bird Açılışı|1...d5 2.Nf3 g6 3.g3|f4 d5 Nf3 g6 g3 Bg7 Bg2
A03|Bird Açılışı|1...d5 2.b3|f4 d5 b3
A03|Bird Açılışı|1...d5 2.b3|f4 d5 b3 Nf6
A03|Bird Açılışı|1...d5 2.b3|f4 d5 b3 Nf6 Bb2
A03|Bird Açılışı|1...d5 2.g3|f4 d5 g3
A03|Bird Açılışı|1...d5 2.g3|f4 d5 g3 Nf6
A03|Bird Açılışı|1...d5 2.g3|f4 d5 g3 Nf6 Bg2
A03|Bird Açılışı|Batavo Gambit|f4 d5 Nf3 c5 e4
A03|Bird Açılışı|Dudweiler Gambit|f4 d5 g4
A03|Bird Açılışı|Lasker Variation|f4 d5 e3
A03|Bird Açılışı|Lasker Variation|f4 d5 e3 Nf6
A03|Bird Açılışı|Lasker Variation|f4 d5 Nf3 Nf6 e3
