# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
B00|Basman's Creepy-Crawly System (as Black)|Ana Hat|e4 a6 d4 h6
B00|King's Pawn|Ana Hat|e4
B00|King's Pawn|Fred|e4 f5
B00|King's Pawn|Hippopotamus Defence|e4 Nh6 d4 g6 c4 f6
B00|Nimzowitsch Savunması|2.Nc3|e4 Nc6 Nc3
B00|Nimzowitsch Savunması|2.Nc3 Nf6|e4 Nc6 Nc3 Nf6
B00|Nimzowitsch Savunması|2.Nc3 e6|e4 Nc6 Nc3 e6
B00|Nimzowitsch Savunması|2.Nf3|e4 Nc6 Nf3
B00|Nimzowitsch Savunması|2.Nf3 d6|e4 Nc6 Nf3 d6
B00|Nimzowitsch Savunması|2.Nf3 d6 3.d4|e4 Nc6 Nf3 d6 d4
B00|Nimzowitsch Savunması|2.Nf3 d6 3.d4 Bg4|e4 Nc6 Nf3 d6 d4 Bg4
B00|Nimzowitsch Savunması|2.Nf3 d6 3.d4 Nf6|e4 Nc6 Nf3 d6 d4 Nf6
B00|Nimzowitsch Savunması|2.Nf3 d6 3.d4 Nf6 4.Nc3|e4 Nc6 Nf3 d6 d4 Nf6 Nc3
B00|Nimzowitsch Savunması|2.Nf3 d6 3.d4 Nf6 4.Nc3 Bg4|e4 Nc6 Nf3 d6 d4 Nf6 Nc3 Bg4
B00|Nimzowitsch Savunması|2.Nf3 d6 3.d4 Nf6 4.Nc3 Bg4 5.Bb5|e4 Nc6 Nf3 d6 d4 Nf6 Nc3 Bg4 Bb5
B00|Nimzowitsch Savunması|2.Nf3 d6 3.d4 Nf6 4.Nc3 Bg4 5.Be2|e4 Nc6 Nf3 d6 d4 Nf6 Nc3 Bg4 Be2
B00|Nimzowitsch Savunması|2.Nf3 d6 3.d4 Nf6 4.Nc3 Bg4 5.Be3|e4 Nc6 Nf3 d6 d4 Nf6 Nc3 Bg4 Be3
B00|Nimzowitsch Savunması|2.Nf3 d6 3.d4 Nf6 4.Nc3 Bg4 5.d5|e4 Nc6 Nf3 d6 d4 Nf6 Nc3 Bg4 d5
B00|Nimzowitsch Savunması|2.Nf3 d6 3.d4 Nf6 4.Nc3 g6|e4 Nc6 Nf3 d6 d4 Nf6 Nc3 g6
B00|Nimzowitsch Savunması|2.d4|e4 Nc6 d4
B00|Nimzowitsch Savunması|2.d4 d5|e4 Nc6 d4 d5
B00|Nimzowitsch Savunması|2.d4 d5 3.e5|e4 Nc6 d4 d5 e5
B00|Nimzowitsch Savunması|2.d4 d5 3.e5 Bf5|e4 Nc6 d4 d5 e5 Bf5
