# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
C00|Fransız|2.Nc3|e4 e6 Nc3
C00|Fransız|2.Nc3 d5|e4 e6 Nc3 d5
C00|Fransız|2.Nf3|e4 e6 Nf3
C00|Fransız|2.Nf3 d5|e4 e6 Nf3 d5
C00|Fransız|2.Nf3 d5 3.e5|e4 e6 Nf3 d5 e5
C00|Fransız|2.Nf3 d5 3.e5 c5|e4 e6 Nf3 d5 e5 c5
C00|Fransız|2.d4|e4 e6 d4
C00|Fransız|2.d4 d5|e4 e6 d4 d5
C00|Fransız|Alapin-Diemer Gambit (ADG)|e4 e6 d4 d5 Be3
C00|Fransız|Ana Hat|e4 e6
C00|Fransız|Bird Variation|e4 e6 Bb5
C00|Fransız|Chigorin Variation|e4 e6 Qe2
C00|Fransız|Chigorin, 2...c5|e4 e6 Qe2 c5
C00|Fransız|Chigorin, 2...c5 3.Nf3|e4 e6 Qe2 c5 Nf3
C00|Fransız|Franco-Benoni|e4 e6 d4 c5
C00|Fransız|KIA 2.d3|e4 e6 d3
C00|Fransız|KIA 2.d3 d5|e4 e6 d3 d5
C00|Fransız|KIA 2.d3 d5 3.Nd2|e4 e6 d3 d5 Nd2
C00|Fransız|KIA 2.d3 d5 3.Nd2 Nf6|e4 e6 d3 d5 Nd2 Nf6
C00|Fransız|KIA 2.d3 d5 3.Nd2 c5|e4 e6 d3 d5 Nd2 c5
C00|Fransız|KIA 2.d3 d5 3.Qe2|e4 e6 d3 d5 Qe2
C00|Fransız|KIA 2.d3 d5 3.Qe2 Nf6|e4 e6 d3 d5 Qe2 Nf6
C00|Fransız|KIA, Reversed Philidor|e4 e6 d3 d5 Nd2 Nf6 Ngf3
C00|Fransız|KIA, Reversed Philidor, 4...Nc6|e4 e6 d3 d5 Nd2 Nf6 Ngf3 Nc6
C00|Fransız|KIA, Reversed Philidor, 4...Nc6 5.c3|e4 e6 d3 d5 Nd2 Nf6 Ngf3 Nc6 c3
C00|Fransız|KIA, Reversed Philidor, 4...b6|e4 e6 d3 d5 Nd2 Nf6 Ngf3 b6
C00|Fransız|La Bourdonnais Variation|e4 e6 f4
C00|Fransız|Orthoschnapp Gambit|e4 e6 c4 d5 cxd5 exd5 Qb3
C00|Fransız|Pelikan Variation|e4 e6 Nc3 d5 f4
C00|Fransız|Reti (Spielmann) Variation|e4 e6 b3
C00|Fransız|Schlechter|e4 e6 d4 d5 Bd3
C00|Fransız|St. George|e4 e6 d4 a6
C00|Fransız|Steiner (Anglo-French) Variation|e4 e6 c4
C00|Fransız|Steiner (Anglo-French) Variation|e4 e6 c4 d5
C00|Fransız|Steinitz Attack|e4 e6 e5
C00|Fransız|Two Knights Variation|e4 e6 Nf3 d5 Nc3
C00|Fransız|Wing Gambit|e4 e6 Nf3 d5 e5 c5 b4
C01|Fransız|Exchange|e4 e6 d4 d5 exd5
C01|Fransız|Exchange|e4 e6 d4 d5 exd5 exd5
C01|Fransız|Exchange Winawer|e4 e6 d4 d5 exd5 exd5 Nc3 Bb4
C01|Fransız|Exchange Winawer, 5.Bd3|e4 e6 d4 d5 exd5 exd5 Nc3 Bb4 Bd3
C01|Fransız|Exchange Winawer, 5.Bd3 Nc6|e4 e6 d4 d5 exd5 exd5 Nc3 Bb4 Bd3 Nc6
C01|Fransız|Exchange, 3...Qxd5|e4 e6 d4 d5 exd5 Qxd5
C01|Fransız|Exchange, 4.Bd3|e4 e6 d4 d5 exd5 exd5 Bd3
C01|Fransız|Exchange, 4.Bd3 Bd6|e4 e6 d4 d5 exd5 exd5 Bd3 Bd6
C01|Fransız|Exchange, 4.Bd3 Nc6|e4 e6 d4 d5 exd5 exd5 Bd3 Nc6
C01|Fransız|Exchange, 4.Bf4|e4 e6 d4 d5 exd5 exd5 Bf4
C01|Fransız|Exchange, 4.Nc3|e4 e6 d4 d5 exd5 exd5 Nc3
C01|Fransız|Exchange, 4.Nc3 Nf6|e4 e6 d4 d5 exd5 exd5 Nc3 Nf6
C01|Fransız|Exchange, 4.Nc3 Nf6 5.Nf3|e4 e6 d4 d5 exd5 exd5 Nc3 Nf6 Nf3
C01|Fransız|Exchange, 4.Nf3|e4 e6 d4 d5 exd5 exd5 Nf3
C01|Fransız|Exchange, 4.Nf3 Bd6|e4 e6 d4 d5 exd5 exd5 Nf3 Bd6
C01|Fransız|Exchange, 4.Nf3 Bd6 5.Bd3|e4 e6 d4 d5 exd5 exd5 Bd3 Bd6 Nf3
C01|Fransız|Exchange, 4.Nf3 Bd6 5.Bd3 Nf6|e4 e6 d4 d5 exd5 exd5 Bd3 Bd6 Nf3 Nf6
C01|Fransız|Exchange, 4.Nf3 Bd6 5.c4|e4 e6 d4 d5 exd5 exd5 Nf3 Bd6 c4
C01|Fransız|Exchange, 4.Nf3 Nf6|e4 e6 d4 d5 exd5 exd5 Nf3 Nf6
C01|Fransız|Exchange, 4.Nf3 Nf6 5.Bd3|e4 e6 d4 d5 exd5 exd5 Nf3 Nf6 Bd3
C01|Fransız|Exchange, 4.c4|e4 e6 d4 d5 exd5 exd5 c4
C01|Fransız|Exchange, 4.c4 Nf6|e4 e6 d4 d5 exd5 exd5 c4 Nf6
C01|Fransız|Exchange, 4.c4 Nf6|e4 e6 d4 d5 exd5 exd5 c4 Nf6 Nf3
C01|Fransız|Exchange, 4.c4 Nf6 5.Nc3|e4 e6 d4 d5 exd5 exd5 c4 Nf6 Nc3
C01|Fransız|Exchange, 4.c4 Nf6 5.Nc3 Bb4|e4 e6 d4 d5 exd5 exd5 c4 Nf6 Nc3 Bb4
C01|Fransız|Exchange, 4.c4 Nf6 5.Nc3 Bb4|e4 e6 d4 d5 exd5 exd5 c4 Nf6 Nc3 Bb4 Nf3
C01|Fransız|Exchange, 4.c4 Nf6 5.Nc3 Be7|e4 e6 d4 d5 exd5 exd5 c4 Nf6 Nc3 Be7
C01|Fransız|Exchange, 4.c4 Nf6 5.Nc3 Be7|e4 e6 d4 d5 exd5 exd5 c4 Nf6 Nc3 Be7 Nf3
C01|Fransız|Exchange, 4.c4 Nf6 5.Nc3 c6|e4 e6 d4 d5 exd5 exd5 c4 Nf6 Nc3 c6
C01|Fransız|Exchange, 4.c4 c6|e4 e6 d4 d5 exd5 exd5 c4 c6
C01|Fransız|Exchange, Bogoljubow Variation|e4 e6 d4 d5 exd5 exd5 Nc3 Nf6 Bg5 Nc6
C01|Fransız|Exchange, Canal Attack|e4 e6 d4 d5 exd5 exd5 Nc3 Bb4 Bd3 Ne7 Qh5
C01|Fransız|Exchange, Svenonius Variation|e4 e6 d4 d5 exd5 exd5 Nc3 Nf6 Bg5
C02|Fransız|Advance|e4 e6 d4 d5 e5
C02|Fransız|Advance, 3...Ne7|e4 e6 d4 d5 e5 Ne7
C02|Fransız|Advance, 3...b6|e4 e6 d4 d5 e5 b6
C02|Fransız|Advance, 3...b6|e4 e6 d4 d5 e5 b6 c3 Qd7
C02|Fransız|Advance, 3...c5|e4 e6 d4 d5 e5 c5
C02|Fransız|Advance, 4...Nc6|e4 e6 d4 d5 e5 c5 c3 Nc6
C02|Fransız|Advance, 4.Nf3|e4 e6 d4 d5 e5 c5 Nf3
