# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
D00|Blackmar-Diemer Gambit (BDG)|2.e4|d4 d5 e4
D00|Blackmar-Diemer Gambit (BDG)|2.e4 dxe4|d4 d5 e4 dxe4
D00|Blackmar-Diemer Gambit (BDG)|Ana Hat|d4 d5 Nc3 Nf6 e4
D00|Blackmar-Diemer Gambiti|2.e4 dxe4 3.Nc3|d4 d5 e4 dxe4 Nc3
D00|Blackmar-Diemer Gambiti|3...dxe4|d4 d5 Nc3 Nf6 e4 dxe4
D00|Blackmar-Diemer Gambiti|4.f3|d4 d5 Nc3 Nf6 e4 dxe4 f3
D00|Blackmar-Diemer Gambiti|4.f3 exf3 5.Nxf3|d4 d5 Nc3 Nf6 e4 dxe4 f3 exf3 Nxf3
D00|Blackmar-Diemer Gambiti|Accepted|d4 d5 Nc3 Nf6 e4 dxe4 f3 exf3
D00|Blackmar-Diemer Gambiti|Beyer Countergambit|d4 d5 e4 e5
D00|Blackmar-Diemer Gambiti|Bogoljubow Defence|d4 d5 Nc3 Nf6 e4 dxe4 f3 exf3 Nxf3 g6
D00|Blackmar-Diemer Gambiti|Elbert Countergambit|d4 d5 Nc3 Nf6 e4 dxe4 f3 e5
D00|Blackmar-Diemer Gambiti|Euwe Defence|d4 d5 Nc3 Nf6 e4 dxe4 f3 exf3 Nxf3 e6
D00|Blackmar-Diemer Gambiti|Fritz Attack|d4 d5 e4 dxe4 Bc4
D00|Blackmar-Diemer Gambiti|Gedult Gambit|d4 d5 e4 dxe4 f3
D00|Blackmar-Diemer Gambiti|Grosshans Defence|d4 d5 e4 dxe4 Nc3 Bd7
D00|Blackmar-Diemer Gambiti|Gunderam Defence|d4 d5 Nc3 Nf6 e4 dxe4 f3 exf3 Nxf3 Bf5
D00|Blackmar-Diemer Gambiti|Hubsch Gambit|d4 d5 Nc3 Nf6 e4 Nxe4
D00|Blackmar-Diemer Gambiti|Lamb Defence|d4 d5 Nc3 Nf6 e4 dxe4 f3 Nc6
D00|Blackmar-Diemer Gambiti|Langeheinecke Defence|d4 d5 Nc3 Nf6 e4 dxe4 f3 e3
D00|Blackmar-Diemer Gambiti|Lemberger Countergambit|d4 d5 e4 dxe4 Nc3 e5
D00|Blackmar-Diemer Gambiti|Lemberger Countergambit, Rassmussen Attack|d4 d5 e4 dxe4 Nc3 e5 Nge2
D00|Blackmar-Diemer Gambiti|Lemberger Countergambit, Sneider Attack|d4 d5 e4 dxe4 Nc3 e5 Qh5
D00|Blackmar-Diemer Gambiti|O'Kelly Defence|d4 d5 Nc3 Nf6 e4 dxe4 f3 c6
D00|Blackmar-Diemer Gambiti|Pohmlann Defence|d4 d5 e4 dxe4 Nc3 f5
D00|Blackmar-Diemer Gambiti|Ryder Gambit|d4 d5 Nc3 Nf6 e4 dxe4 f3 exf3 Qxf3
D00|Blackmar-Diemer Gambiti|Tartakower Defence|d4 d5 Nc3 Nf6 e4 dxe4 f3 exf3 Nxf3 Bg4
D00|Blackmar-Diemer Gambiti|Vienna Defence|d4 d5 Nc3 Nf6 e4 dxe4 f3 Bf5
D00|Blackmar-Diemer Gambiti|Weinspach Defence|d4 d5 Nc3 Nf6 e4 dxe4 f3 e6
D00|Blackmar-Diemer Gambiti|Zeller Defence|d4 d5 e4 dxe4 Nc3 Bf5
D00|Blackmar-Diemer Gambiti|Ziegler Defence|d4 d5 Nc3 Nf6 e4 dxe4 f3 exf3 Nxf3 c6
D00|Blackmar-Diemer Gambiti|von Popiel Attack|d4 d5 Nc3 Nf6 e4 dxe4 Bg5
D00|Hodgson Atağı|2...c6|d4 d5 Bg5 c6
D00|Hodgson Atağı|2...f6|d4 d5 Bg5 f6
D00|Hodgson Atağı|2...g6|d4 d5 Bg5 g6
D00|Hodgson Atağı|2...h6 3.Bh4 c6|d4 d5 Bg5 h6 Bh4 c6
D00|Hodgson Atağı|2...h6 3.Bh4 c6 4.e3|d4 d5 Bg5 h6 Bh4 c6 e3
D00|Hodgson Atağı|2...h6 3.Bh4 c6 4.e3 Qb6|d4 d5 Bg5 h6 Bh4 c6 e3 Qb6
D00|Hodgson Atağı|Welling Variation|d4 d5 Bg5 Bg4
D00|Hodgson Attack (Trompowsky vs. 1...d5)|Ana Hat|d4 d5 Bg5
D00|Hodgson Attack, 2...h6|Ana Hat|d4 d5 Bg5 h6
D00|Queen's Pawn Game|Ana Hat|d4 d5
D00|Queen's Pawn, Mason, Steinitz Countergambit|Ana Hat|d4 d5 Bf4 c5
D00|Trompowsky Atağı|2...d5|d4 Nf6 Bg5 d5
D00|Trompowsky Atağı|2...d5 3.Bxf6|d4 Nf6 Bg5 d5 Bxf6
D00|Trompowsky Atağı|2...d5 3.Bxf6 exf6|d4 Nf6 Bg5 d5 Bxf6 exf6
D00|Trompowsky Atağı|2...d5 3.Bxf6 exf6 4.e3|d4 Nf6 Bg5 d5 Bxf6 exf6 e3
D00|Trompowsky Atağı|2...d5 3.Bxf6 exf6 4.e3 Bd6|d4 Nf6 Bg5 d5 Bxf6 exf6 e3 Bd6
D00|Trompowsky Atağı|2...d5 3.Bxf6 exf6 4.e3 Be6|d4 Nf6 Bg5 d5 Bxf6 exf6 e3 Be6
D00|Trompowsky Atağı|2...d5 3.Bxf6 exf6 4.e3 Bf5|d4 Nf6 Bg5 d5 Bxf6 exf6 e3 Bf5
D00|Trompowsky Atağı|2...d5 3.Bxf6 exf6 4.e3 c6|d4 Nf6 Bg5 d5 Bxf6 exf6 e3 c6
D00|Trompowsky Atağı|2...d5 3.Bxf6 gxf6|d4 Nf6 Bg5 d5 Bxf6 gxf6
D00|Trompowsky Atağı|2...d5 3.Bxf6 gxf6 4.e3|d4 Nf6 Bg5 d5 Bxf6 gxf6 e3
D00|Trompowsky Atağı|2...d5 3.Bxf6 gxf6 4.e3 c5|d4 Nf6 Bg5 d5 Bxf6 gxf6 e3 c5
D00|Trompowsky Atağı|2...d5 3.Nd2|d4 Nf6 Bg5 d5 Nd2
D00|Trompowsky Atağı|2...d5 3.e3|d4 Nf6 Bg5 d5 e3
D00|Trompowsky Atağı|2...d5 3.e3 e6|d4 Nf6 Bg5 d5 e3 e6
D00|Vezir Piyonu Oyunu|2.c3|d4 d5 c3
D00|Vezir Piyonu Oyunu|2.c3 Nf6|d4 d5 c3 Nf6
D00|Vezir Piyonu Oyunu|2.c3 Nf6 3.Bf4|d4 d5 c3 Nf6 Bf4
D00|Vezir Piyonu Oyunu|2.c3 Nf6 3.Bg5|d4 d5 c3 Nf6 Bg5
D00|Vezir Piyonu Oyunu|2.e3|d4 d5 e3
D00|Vezir Piyonu Oyunu|2.e3 Nf6|d4 d5 e3 Nf6
D00|Vezir Piyonu Oyunu|2.f4|d4 d5 f4
D00|Vezir Piyonu Oyunu|2.g3|d4 d5 g3
D00|Vezir Piyonu Oyunu|Anti-King's Indian|d4 d5 Nc3 Nf6 Nf3 g6 Bf4
D00|Vezir Piyonu Oyunu|Anti-King's Indian, Main Line|d4 d5 Nc3 Nf6 Nf3 g6 Bf4 Bg7 e3 O-O Be2
D00|Vezir Piyonu Oyunu|Mason Variation|d4 d5 Bf4
D00|Vezir Piyonu Oyunu|Stonewall Attack|d4 d5 e3 Nf6 Bd3
D00|Vezir Piyonu Oyunu|Veresov Attack|d4 d5 Nc3
D00|Vezir Piyonu Oyunu|Veresov Attack|d4 d5 Nc3 Bf5
D00|Vezir Piyonu Oyunu|Veresov Attack|d4 d5 Nc3 Nf6
D00|Vezir Piyonu Oyunu|Veresov, 3.Bf4|d4 d5 Nc3 Nf6 Bf4
D00|Vezir Piyonu Oyunu|Veresov, 3.Nf3|d4 d5 Nc3 Nf6 Nf3
D00|Vezir Piyonu Oyunu|Veresov, 3.Nf3 g6|d4 d5 Nc3 Nf6 Nf3 g6
D01|Richter-Veresov Atağı|3...Bf5|d4 d5 Nc3 Nf6 Bg5 Bf5
D01|Richter-Veresov Atağı|3...Bf5 4.Bxf6|d4 d5 Nc3 Nf6 Bg5 Bf5 Bxf6
D01|Richter-Veresov Atağı|3...Bf5 4.Nf3|d4 d5 Nc3 Nf6 Bg5 Bf5 Nf3
D01|Richter-Veresov Atağı|3...Bf5 4.f3|d4 d5 Nc3 Nf6 Bg5 Bf5 f3
D01|Richter-Veresov Atağı|3...Nbd7|d4 d5 Nc3 Nf6 Bg5 Nbd7
D01|Richter-Veresov Atağı|3...Nbd7 4.Nf3|d4 d5 Nc3 Nf6 Bg5 Nbd7 Nf3
D01|Richter-Veresov Atağı|3...Nbd7 4.Nf3 g6|d4 d5 Nc3 Nf6 Bg5 Nbd7 Nf3 g6
D01|Richter-Veresov Atağı|3...Nbd7 4.Nf3 h6|d4 d5 Nc3 Nf6 Bg5 Nbd7 Nf3 h6
D01|Richter-Veresov Atağı|3...Nbd7 4.f3|d4 d5 Nc3 Nf6 Bg5 Nbd7 f3
D01|Richter-Veresov Atağı|3...Ne4|d4 d5 Nc3 Nf6 Bg5 Ne4
D01|Richter-Veresov Atağı|3...c5|d4 d5 Nc3 Nf6 Bg5 c5
D01|Richter-Veresov Atağı|3...c6|d4 d5 Nc3 Nf6 Bg5 c6
D01|Richter-Veresov Atağı|3...e6|d4 d5 Nc3 Nf6 Bg5 e6
D01|Richter-Veresov Atağı|3...g6|d4 d5 Nc3 Nf6 Bg5 g6
D01|Richter-Veresov Atağı|3...h6|d4 d5 Nc3 Nf6 Bg5 h6
D01|Richter-Veresov Attack|Ana Hat|d4 d5 Nc3 Nf6 Bg5
D02|Vezir Piyonu Oyunu|2.Nf3|d4 d5 Nf3
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5|d4 d5 Nf3 Bf5
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5 3.Bf4|d4 d5 Nf3 Bf5 Bf4
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5 3.Bf4 c6|d4 d5 Nf3 Bf5 Bf4 c6
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5 3.Bf4 e6|d4 d5 Nf3 Bf5 Bf4 e6
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5 3.e3|d4 d5 Nf3 Bf5 e3
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5 3.e3 c6|d4 d5 Nf3 Bf5 e3 c6
D02|Vezir Piyonu Oyunu|2.Nf3 Bg4|d4 d5 Nf3 Bg4
D02|Vezir Piyonu Oyunu|2.Nf3 Nc6|d4 d5 Nf3 Nc6
D02|Vezir Piyonu Oyunu|2.Nf3 Nc6 3.Bf4|d4 d5 Nf3 Nc6 Bf4
D02|Vezir Piyonu Oyunu|2.Nf3 Nc6 3.g3|d4 d5 Nf3 Nc6 g3
D02|Vezir Piyonu Oyunu|2.Nf3 Nc6 3.g3 Bg4|d4 d5 Nf3 Nc6 g3 Bg4
D02|Vezir Piyonu Oyunu|2.Nf3 Nf6|d4 d5 Nf3 Nf6
D02|Vezir Piyonu Oyunu|2.Nf3 c6|d4 d5 Nf3 c6
D02|Vezir Piyonu Oyunu|2.Nf3 e6|d4 d5 Nf3 e6
D02|Vezir Piyonu Oyunu|2.Nf3 e6 3.g3|d4 d5 Nf3 e6 g3
