# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
E00|Katalan Açılışı|3...Bb4+|d4 Nf6 c4 e6 g3 Bb4+
E00|Katalan Açılışı|3...Bb4+ 4.Bd2|d4 Nf6 c4 e6 g3 Bb4+ Bd2
E00|Katalan Açılışı|3...Bb4+ 4.Bd2 Be7|d4 Nf6 c4 e6 g3 Bb4+ Bd2 Be7
E00|Katalan Açılışı|3...Bb4+ 4.Bd2 Bxd2+|d4 Nf6 c4 e6 g3 Bb4+ Bd2 Bxd2+
E00|Katalan Açılışı|3...Bb4+ 4.Bd2 Qe7|d4 Nf6 c4 e6 g3 Bb4+ Bd2 Qe7
E00|Katalan Açılışı|3...Bb4+ 4.Bd2 Qe7|d4 Nf6 c4 e6 g3 Bb4+ Bd2 Qe7 Bg2
E00|Katalan Açılışı|3...Bb4+ 4.Nd2|d4 Nf6 c4 e6 g3 Bb4+ Nd2
E00|Katalan Açılışı|3...c5|d4 Nf6 c4 e6 g3 c5
E00|Katalan Açılışı|3...c5 4.Nf3|d4 Nf6 c4 e6 g3 c5 Nf3
E00|Katalan Açılışı|3...c6|d4 Nf6 c4 e6 g3 c6
E00|Katalan Açılışı|3...d5|d4 Nf6 c4 e6 g3 d5
E00|Katalan Açılışı|4.Nf3|d4 Nf6 c4 e6 g3 d5 Nf3
E00|Katalan Açılışı|4.Nf3 Bb4+|d4 Nf6 c4 e6 g3 d5 Nf3 Bb4+
E00|Katalan Açılışı|4.Nf3 Bb4+ 5.Bd2|d4 Nf6 c4 e6 g3 d5 Nf3 Bb4+ Bd2
E00|Katalan Açılışı|4.Nf3 Be7|d4 Nf6 c4 e6 g3 d5 Nf3 Be7
E00|Katalan Açılışı|4.Nf3 c5|d4 Nf6 c4 e6 g3 d5 Nf3 c5
E00|Katalan Açılışı|4.Nf3 c6|d4 Nf6 c4 e6 g3 d5 Nf3 c6
E00|Katalan Açılışı|4.Nf3 dxc4|d4 Nf6 c4 e6 g3 d5 Nf3 dxc4
E00|Katalan Açılışı|4.Nf3 dxc4 5.Qa4+|d4 Nf6 c4 e6 g3 d5 Nf3 dxc4 Qa4+
E00|Katalan Açılışı|4.Nf3 dxc4 5.Qa4+ Nbd7|d4 Nf6 c4 e6 g3 d5 Nf3 dxc4 Qa4+ Nbd7
E00|Katalan Açılışı|Ana Hat|d4 Nf6 c4 e6 g3
E00|Katalan Açılışı|Hungarian Gambit|d4 Nf6 c4 e6 g3 e5
E00|Neo-Indian (Seirawan) Attack|Ana Hat|d4 Nf6 c4 e6 Bg5
E00|Vezir Piyonu Oyunu|Anti-Nimzo-Indian|d4 Nf6 c4 e6 a3
E00|Vezir Piyonu Oyunu|Anti-Nimzo-Indian, 3...d5|d4 Nf6 c4 e6 a3 d5
E00|Vezir Piyonu Oyunu|Neo-Indian|d4 Nf6 c4 e6
E00|Vezir Piyonu Oyunu|Neo-Indian|d4 Nf6 c4 e6 Nc3
E00|Vezir Piyonu Oyunu|Neo-Indian, 3...b6|d4 Nf6 c4 e6 Nc3 b6
E00|Vezir Piyonu Oyunu|Neo-Indian, 3...b6|d4 Nf6 c4 e6 Nc3 b6 e4
E00|Vezir Piyonu Oyunu|Neo-Indian, 3...c5|d4 Nf6 c4 e6 Nc3 c5
E00|Vezir Piyonu Oyunu|Neo-Indian, Devin Gambit|d4 Nf6 c4 e6 g4
E01|Katalan Açılışı|4...Bb4+|d4 Nf6 c4 e6 g3 d5 Bg2 Bb4+
E01|Katalan Açılışı|4...Bb4+ 5.Bd2|d4 Nf6 c4 e6 g3 d5 Bg2 Bb4+ Bd2
E01|Katalan Açılışı|4...Bb4+ 5.Nd2|d4 Nf6 c4 e6 g3 d5 Bg2 Bb4+ Nd2
E01|Katalan Açılışı|4...Bb4+ 5.Nd2 O-O|d4 Nf6 c4 e6 g3 d5 Bg2 Bb4+ Nd2 O-O
E01|Katalan Açılışı|4...c5|d4 Nf6 c4 e6 g3 d5 Bg2 c5
E01|Katalan Açılışı|4...c5 5.Nf3|d4 Nf6 c4 e6 g3 d5 Bg2 c5 Nf3
E01|Katalan Açılışı|4...c6|d4 Nf6 c4 e6 g3 d5 Bg2 c6
E01|Katalan Açılışı|4...c6 5.Nf3|d4 Nf6 c4 e6 g3 d5 Bg2 c6 Nf3
E01|Katalan Açılışı|4...c6 5.Nf3 Nbd7|d4 Nf6 c4 e6 g3 d5 Bg2 c6 Nf3 Nbd7
E01|Katalan Açılışı|4...c6 5.Qc2|d4 Nf6 c4 e6 g3 d5 Bg2 c6 Qc2
