# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Açılış adları kaynaktaki gibi, İngilizce.
B02|Alekhine|2.e5|e4 Nf6 e5
B02|Alekhine|Krejcik Variation|e4 Nf6 Bc4
B02|Alekhine|Maroczy Variation|e4 Nf6 d3
B02|Alekhine|2.e5 Nd5|e4 Nf6 e5 Nd5
B02|Alekhine|Brooklyn Defence (Retreat Variation)|e4 Nf6 e5 Ng8
B02|Alekhine|Mokele Mbembe (Bücker) Variation|e4 Nf6 e5 Ne4
B02|Alekhine|3.Bc4|e4 Nf6 e5 Nd5 Bc4
B03|Alekhine|3.d4|e4 Nf6 e5 Nd5 d4
B02|Alekhine|Welling Variation|e4 Nf6 e5 Nd5 b3
B03|Alekhine|3.d4 d6|e4 Nf6 e5 Nd5 d4 d6
B03|Alekhine|O'Sullivan Gambit|e4 Nf6 e5 Nd5 d4 b5
B03|Alekhine|3.d4 d6 4.exd6|e4 Nf6 e5 Nd5 d4 d6 exd6
B03|Alekhine|4.c4|e4 Nf6 e5 Nd5 d4 d6 c4
B03|Alekhine|Balogh Variation|e4 Nf6 e5 Nd5 d4 d6 Bc4
B02|Alekhine|Chase, Steiner Variation|e4 Nf6 e5 Nd5 c4 Nb6 b3
B04|Alekhine|Modern Variation|e4 Nf6 e5 Nd5 d4 d6 Nf3
B02|Alekhine|Spielmann Gambit|e4 Nf6 Nc3 d5 e5 Nfd7 e6
B02|Alekhine|Two Pawns (Lasker) Attack|e4 Nf6 e5 Nd5 c4 Nb6 c5
B03|Alekhine|4.c4 Nb6|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6
B03|Alekhine|4.c4 Nb6 5.Nf3|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 Nf3
B03|Alekhine|Exchange Variation|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6
B02|Alekhine|Kmoch Variation|e4 Nf6 e5 Nd5 Bc4 Nb6 Bb3 c5 d3
B02|Alekhine Defence|Ana Hat|e4 Nf6
B02|Alekhine: Chase Variation|Ana Hat (3 hamle)|e4 Nf6 e5 Nd5 c4
B02|Alekhine: Chase Variation|Ana Hat (3...Nb6)|e4 Nf6 e5 Nd5 c4 Nb6
B03|Alekhine: Exchange|5...cxd6|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 cxd6
B03|Alekhine: Exchange|5...exd6|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 exd6
B03|Alekhine: Exchange|5...cxd6 6.Nc3|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 cxd6 Nc3
B03|Alekhine: Exchange|5...exd6 6.Nc3|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 exd6 Nc3
B03|Alekhine: Exchange|5...exd6 6.Nc3 Be7|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 exd6 Nc3 Be7
B03|Alekhine: Exchange|5...cxd6 6.Nc3 g6 7.Be3|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 cxd6 Nc3 g6 Be3
B03|Alekhine: Four Pawns Attack|Ana Hat|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4
B03|Alekhine: Four Pawns Attack|5...dxe5 (5 hamle)|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5
B03|Alekhine: Four Pawns Attack|Fianchetto Variation|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 g6
B03|Alekhine: Four Pawns Attack|Planinc Variation|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 g5
B03|Alekhine: Four Pawns Attack|Trifunovic Variation|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 Bf5
B03|Alekhine: Four Pawns Attack|5...dxe5 (6.fxe5)|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5
B03|Alekhine: Four Pawns Attack|6...Bf5|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Bf5
B03|Alekhine: Four Pawns Attack|6...Nc6|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Nc6
B03|Alekhine: Four Pawns Attack|6...c5|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 c5
B03|Alekhine: Four Pawns Attack|7.Be3|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Nc6 Be3
B03|Alekhine: Four Pawns Attack|Fahrni Variation|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Bf5 Nc3 e6 Nf3 Bb4 Bd3
B03|Alekhine: Four Pawns Attack|Ilyin-Zhenevsky Variation|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Nc6 Nf3 Bg4 e6 fxe6 c5
B03|Alekhine: Four Pawns Attack|Korchnoi Variation|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Bf5 Nc3 e6 Nf3 Be7 Be2 O-O O-O f6
B05|Alekhine: Modern|4...Bg4|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4
B04|Alekhine: Modern|4...Nc6|e4 Nf6 e5 Nd5 d4 d6 Nf3 Nc6
B04|Alekhine: Modern|4...c6|e4 Nf6 e5 Nd5 d4 d6 Nf3 c6
B04|Alekhine: Modern|Fianchetto Variation|e4 Nf6 e5 Nd5 d4 d6 Nf3 g6
B04|Alekhine: Modern|Larsen Variation|e4 Nf6 e5 Nd5 d4 d6 Nf3 dxe5
B04|Alekhine: Modern|Schmid Variation|e4 Nf6 e5 Nd5 d4 d6 Nf3 Nb6
B04|Alekhine: Modern|4...c6 5.c4|e4 Nf6 e5 Nd5 d4 d6 Nf3 c6 c4
B05|Alekhine: Modern|5.Be2|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2
B05|Alekhine: Modern|Panov Variation|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 h3
B05|Alekhine: Modern|5.Be2 Nc6|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 Nc6
B05|Alekhine: Modern|5.Be2 e6|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6
B05|Alekhine: Modern|Flohr Variation|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 c6
B04|Alekhine: Modern|Larsen, 5.Nxe5 g6|e4 Nf6 e5 Nd5 d4 d6 Nf3 dxe5 Nxe5 g6
B05|Alekhine: Modern|5.Be2 e6 6.O-O|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O
B05|Alekhine: Modern|Flohr, 6.O-O|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 c6 O-O
B05|Alekhine: Modern|Flohr, 6.c4|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 c6 c4
B04|Alekhine: Modern|Larsen, 5.Nxe5 g6 6.Bc4|e4 Nf6 e5 Nd5 d4 d6 Nf3 dxe5 Nxe5 g6 Bc4
B04|Alekhine: Modern|Larsen, 5.Nxe5 g6 6.Bc4 c6 7.O-O|e4 Nf6 e5 Nd5 d4 d6 Nf3 dxe5 Nxe5 g6 Bc4 c6 O-O
B05|Alekhine: Modern, Alekhine Variation|Ana Hat (5 hamle)|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 c4
B05|Alekhine: Modern, Alekhine Variation|Ana Hat (5...Nb6)|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 c4 Nb6
B05|Alekhine: Modern, Alekhine Variation|6.exd6|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 c4 Nb6 exd6
B05|Alekhine: Modern, Alekhine Variation|6.exd6 cxd6|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 c4 Nb6 exd6 cxd6
B05|Alekhine: Modern, Alekhine Variation|6.exd6 exd6|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 c4 Nb6 exd6 exd6
B04|Alekhine: Modern, Fianchetto|5.Bc4|e4 Nf6 e5 Nd5 d4 d6 Nf3 g6 Bc4
B04|Alekhine: Modern, Fianchetto|5.Bc4 Nb6|e4 Nf6 e5 Nd5 d4 d6 Nf3 g6 Bc4 Nb6
B04|Alekhine: Modern, Fianchetto|5.Bc4 Nb6 6.Bb3 Bg7|e4 Nf6 e5 Nd5 d4 d6 Nf3 g6 Bc4 Nb6 Bb3 Bg7
B04|Alekhine: Modern, Fianchetto|5.Bc4 Nb6 6.Bb3 Bg7 7.Ng5|e4 Nf6 e5 Nd5 d4 d6 Nf3 g6 Bc4 Nb6 Bb3 Bg7 Ng5
B04|Alekhine: Modern, Fianchetto|Keres Variation|e4 Nf6 e5 Nd5 d4 d6 Nf3 g6 Bc4 Nb6 Bb3 Bg7 a4
B05|Alekhine: Modern, Main Line|Ana Hat|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4
B05|Alekhine: Modern, Main Line|8.Nc3|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4 Nb6 Nc3
B05|Alekhine: Modern, Main Line|8.exd6|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4 Nb6 exd6
B05|Alekhine: Modern, Main Line|8.h3|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4 Nb6 h3
B05|Alekhine: Modern, Main Line|8.h3 Bh5|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4 Nb6 h3 Bh5
B05|Alekhine: Modern, Main Line|8.Nc3 O-O 9.Be3|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4 Nb6 Nc3 O-O Be3
B05|Alekhine: Modern, Main Line|8.h3 Bh5 9.Nc3|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4 Nb6 h3 Bh5 Nc3
B05|Alekhine: Modern, Main Line|8.Nc3 O-O 9.Be3 Nc6|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4 Nb6 Nc3 O-O Be3 Nc6
B05|Alekhine: Modern, Main Line|8.h3 Bh5 9.Nc3 O-O|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4 Nb6 h3 Bh5 Nc3 O-O
B05|Alekhine: Modern, Main Line|8.h3 Bh5 9.Nc3 O-O 10.Be3|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4 Nb6 h3 Bh5 Nc3 O-O Be3
B05|Alekhine: Modern, Main Line|8.Nc3 O-O 9.Be3 Nc6 10.exd6 cxd6|e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 O-O Be7 c4 Nb6 Nc3 O-O Be3 Nc6 exd6 cxd6
